FID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
305,20,24575,00485576,2024575,Fredonia,Fredonia city,25,C5,N,N,G4110,A,6317764,24714,+37.5330955,-095.8223482,10103311.9023438,29020.7476855233
306,20,49650,00485628,2049650,Neodesha,Neodesha city,25,C5,N,N,G4110,A,3638378,141212,+37.4241771,-095.6845863,6003405.5625,27063.370097842
307,20,42650,02395760,2042650,Longton,Longton city,25,C1,N,N,G4110,A,3043400,17843,+37.3774631,-096.0818387,4856450.34765625,11694.3371096738
308,20,00550,02393891,2000550,Agra,Agra city,25,C1,N,N,G4110,A,645296,0,+39.7612622,-099.1194272,1093364.26171875,5871.62307689774
309,20,26325,02394906,2026325,Glade,Glade city,25,C1,N,N,G4110,A,693510,0,+39.6837449,-099.3115573,1172424.2890625,5658.6494562376
310,20,37275,02395551,2037275,Kirwin,Kirwin city,25,C1,N,N,G4110,A,2369943,0,+39.6698073,-099.1217497,4004959.69921875,7890.64139756315
311,20,42100,02395745,2042100,Logan,Logan city,25,C1,N,N,G4110,A,3885814,0,+39.6616559,-099.5672816,6565130.31640625,10477.5016801945
312,20,25325,00485579,2025325,Garden City,Garden City city,25,C5,Y,N,G4110,A,28256239,60441,+37.9770221,-100.8516593,45645471.609375,73120.5858667734
313,20,06950,02394177,2006950,Bison,Bison city,25,C1,N,N,G4110,A,686250,0,+38.5199153,-099.1978900,1122767.94140625,5433.12303740454
314,20,37500,02395563,2037500,La Crosse,La Crosse city,25,C1,N,N,G4110,A,2683339,0,+38.5318368,-099.3094984,4391662.6328125,8923.96075121247
315,20,43700,02395062,2043700,McCracken,McCracken city,25,C1,N,N,G4110,A,2583167,0,+38.5820846,-099.5684460,4233579.88671875,8243.15457706268
316,20,18250,00485563,2018250,Dodge City,Dodge City city,25,C5,Y,N,G4110,A,38114038,272373,+37.7606765,-100.0184384,61521747.7148438,85774.1830316369
317,20,31600,02394366,2031600,Hesston,Hesston city,25,C1,N,N,G4110,A,9233213,0,+38.1400719,-097.4269836,14950255.4570313,34276.7136464767
318,20,75200,02397186,2075200,Walton,Walton city,25,C1,N,N,G4110,A,806729,0,+38.1186630,-097.2582565,1305486.33984375,7833.40902303794
319,20,65650,02395891,2065650,Simpson,Simpson city,25,C1,N,N,G4110,A,665504,0,+39.3860355,-097.9339980,1115553.04296875,4454.4838675664
320,20,05775,00485547,2005775,Beloit,Beloit city,25,C5,N,N,G4110,A,10143801,65426,+39.4646976,-098.1083398,17151515.0195313,35230.1686056365
321,20,26500,02394910,2026500,Glen Elder,Glen Elder city,25,C1,N,N,G4110,A,1128450,0,+39.5001659,-098.3064904,1897731.83203125,6683.35713388207
322,20,63650,02396561,2063650,Scottsville,Scottsville city,25,C1,N,N,G4110,A,652528,0,+39.5425766,-097.9523044,1098694.2734375,4196.63766682682
323,20,44925,02395018,2044925,Marquette,Marquette city,25,C1,N,N,G4110,A,1248402,4213,+38.5558440,-097.8344284,2051420.0859375,17009.7319397912
324,20,16700,02393693,2016700,Culver,Culver city,25,C1,N,N,G4110,A,461200,0,+38.9701591,-097.7590780,764066.7734375,4043.11134425023
325,20,17600,02394510,2017600,Delphos,Delphos city,25,C1,N,N,G4110,A,1534852,67157,+39.2745771,-097.7648525,2676885.71875,8309.35421605189
326,20,70250,02396044,2070250,Tescott,Tescott city,25,C1,N,N,G4110,A,999196,0,+39.0129699,-097.8782855,1657348.8125,7794.92737213672
327,20,04775,02394091,2004775,Bazine,Bazine city,25,C1,N,N,G4110,A,1164113,0,+38.4461259,-099.6930058,1900743.43359375,6573.21200944705
328,20,06275,02394147,2006275,Bern,Bern city,25,C1,N,N,G4110,A,736823,0,+39.9614154,-095.9710647,1255684.35546875,5789.70787136927
329,20,12425,02393790,2012425,Centralia,Centralia city,25,C1,N,N,G4110,A,1174591,257,+39.7244128,-096.1309550,1988479,7590.48971649084
330,20,26775,02394921,2026775,Goff,Goff city,25,C1,N,N,G4110,A,532714,0,+39.6641159,-095.9317618,900083.2265625,5504.81834412445
331,20,52900,02396068,2052900,Oneida,Oneida city,25,C1,N,N,G4110,A,595178,0,+39.8667987,-095.9398202,1011518.2890625,4035.11528994504
332,20,49925,02395176,2049925,Ness City,Ness City city,25,C1,N,N,G4110,A,3769403,0,+38.4540549,-099.9046560,6155956.38671875,16440.0950482539
333,20,58500,02396321,2058500,Ransom,Ransom city,25,C1,N,N,G4110,A,908974,0,+38.6365246,-099.9327235,1491965.59765625,5694.73140406619
334,20,72650,02397105,2072650,Utica,Utica city,25,C1,N,N,G4110,A,631714,0,+38.6427046,-100.1697665,1037061.7265625,4175.9209689797
335,20,63950,00485651,2063950,Seneca,Seneca city,25,C5,N,N,G4110,A,4632111,0,+39.8379976,-096.0696078,7865827.6640625,20687.6917646456
336,20,10475,02393735,2010475,Canton,Canton city,25,C1,N,N,G4110,A,1286981,0,+38.3858621,-097.4300503,2097881.30078125,6665.7595101535
337,20,25200,02394849,2025200,Galva,Galva city,25,C1,N,N,G4110,A,1292874,0,+38.3836038,-097.5380800,2107359.890625,7163.73012626163
338,20,34275,02395427,2034275,Inman,Inman city,25,C1,N,N,G4110,A,1994660,70190,+38.2324281,-097.7715723,3351778.0234375,14481.6125183061
339,20,41375,00485614,2041375,Lindsborg,Lindsborg city,25,C5,N,N,G4110,A,4748276,42801,+38.5771418,-097.6740089,7851111.2578125,18995.2012531564
340,20,20500,00485570,2020500,Ellsworth,Ellsworth city,25,C5,N,N,G4110,A,6198490,0,+38.7326377,-098.2285681,10201209.4101563,27277.775744433
341,20,32850,02394411,2032850,Holyrood,Holyrood city,25,C1,N,N,G4110,A,1114133,17701,+38.5872338,-098.4118038,1855263.56640625,8112.80175311372
342,20,35950,02395490,2035950,Kanopolis,Kanopolis city,25,C1,N,N,G4110,A,3051328,0,+38.7081107,-098.1580686,5018336.859375,9795.25871043495
343,20,79675,02397332,2079675,Wilson,Wilson city,25,C1,N,N,G4110,A,1549882,0,+38.8253317,-098.4749231,2557317.60546875,9325.49175140174
344,20,20450,00485569,2020450,Ellis,Ellis city,25,C5,N,N,G4110,A,4291933,0,+38.9346541,-099.5567912,7103368.875,18096.0753577301
345,20,80350,02397366,2080350,Woodbine,Woodbine city,25,C1,N,N,G4110,A,411476,0,+38.7956017,-096.9593067,678371.921875,3864.04959325849
346,20,55675,00485642,2055675,Phillipsburg,Phillipsburg city,25,C5,N,N,G4110,A,4391623,0,+39.7512281,-099.3209844,7438811.16015625,23698.5153301938
347,20,57525,02396268,2057525,Prairie View,Prairie View city,25,C1,N,N,G4110,A,381979,0,+39.8319891,-099.5732940,648525.8046875,3557.16068715824
348,20,42600,02395755,2042600,Long Island,Long Island city,25,C1,N,N,G4110,A,1065024,0,+39.9461209,-099.5339142,1814191.71484375,7364.76702258366
349,20,63425,02396555,2063425,Schoenchen,Schoenchen city,25,C1,N,N,G4110,A,322040,0,+38.7128952,-099.3322555,529709.37890625,3646.39150221133
350,20,73775,02397136,2073775,Victoria,Victoria city,25,C1,N,N,G4110,A,1552164,0,+38.8537584,-099.1473970,2563109.20703125,11939.319961188
351,20,52875,02396065,2052875,Onaga,Onaga city,25,C1,N,N,G4110,A,1698610,2445,+39.4892831,-096.1702412,2859800.015625,9766.7391816131
352,20,62200,02396491,2062200,St. George,St. George city,25,C1,N,N,G4110,A,1670522,1575,+39.1926058,-096.4182837,2787463.3125,9990.39025690701
353,20,62400,02396507,2062400,St. Marys,St. Marys city,25,C1,N,N,G4110,A,3052153,0,+39.1941685,-096.0641738,5088446.46875,20792.9390159415
354,20,77200,02397281,2077200,Westmoreland,Westmoreland city,25,C1,N,N,G4110,A,1274406,0,+39.3941602,-096.4136702,2136720.3515625,8123.76265040817
355,20,09700,02393480,2009700,Bushton,Bushton city,25,C1,N,N,G4110,A,590590,0,+38.5122753,-098.3960026,966057.64453125,4680.68734398789
356,20,33525,02394450,2033525,Hunter,Hunter city,25,C1,N,N,G4110,A,544949,0,+39.2350426,-098.3961172,909573.74609375,4773.19668975986
357,20,77550,02397289,2077550,Wetmore,Wetmore city,25,C1,N,N,G4110,A,1001112,0,+39.6355795,-095.8113777,1690115.84765625,6303.40163096918
358,20,67175,02395924,2067175,Speed,Speed city,25,C1,N,N,G4110,A,386619,0,+39.6763250,-099.4209905,653467.65625,4243.20994275669
359,20,00125,00485539,2000125,Abilene,Abilene city,25,C5,N,N,G4110,A,12333588,8788,+38.9244830,-097.2278998,20420571.53125,47891.451178442
360,20,12550,02393800,2012550,Chapman,Chapman city,25,C1,N,N,G4110,A,2416162,4070,+38.9743722,-097.0232582,4010071.3359375,19928.7416158508
361,20,09675,02393479,2009675,Bushong,Bushong city,25,C1,N,N,G4110,A,392602,0,+38.6427996,-096.2567348,644512.62109375,3322.72017173347
362,20,21425,02394695,2021425,Enterprise,Enterprise city,25,C1,N,N,G4110,A,1735176,32841,+38.9034032,-097.1163669,2923559.63671875,9947.07854228609
363,20,33075,02394416,2033075,Hope,Hope city,25,C1,N,N,G4110,A,1006263,0,+38.6912221,-097.0764960,1654162.4375,7341.79325171659
364,20,44225,02395828,2044225,Manchester,Manchester city,25,C1,N,N,G4110,A,415371,0,+39.0933132,-097.3201559,690527.1796875,3885.96646332388
365,20,00950,02393912,2000950,Alden,Alden city,25,C1,N,N,G4110,A,400761,0,+38.2438388,-098.3117296,650738.91015625,6289.85500170983
366,20,12650,02393808,2012650,Chase,Chase city,25,C1,N,N,G4110,A,719762,0,+38.3553198,-098.3486665,1172300.8359375,5065.56080962463
367,20,26075,02394873,2026075,Geneseo,Geneseo city,25,C1,N,N,G4110,A,1516931,0,+38.5170201,-098.1544733,2481653.32421875,7206.06616177856
